itemname|geo_id|state|county|bid|dollars_per_mile|net_dollars_per_mile|road_miles|total_bid_amount
T13163960300|1285|GA|Jefferson|Georgia RSA 8 Partnership|5965|5965|33.33|198813.45
T13165960100|1447|GA|Jenkins|Georgia RSA 8 Partnership|4794|4794|10.95|52494.30
T13165960200|1448|GA|Jenkins|Georgia RSA 8 Partnership|5957|5957|9.52|56710.64
T13167960100|1477|GA|Johnson|Allied Wireless Communications Corporation|5958|5958|3.25|19363.50
T13175951400|1482|GA|Laurens|Allied Wireless Communications Corporation|5950|5950|5.5|32725.00
T13193000100|1495|GA|Macon|Allied Wireless Communications Corporation|5966|5966|3.6|21477.60
T13197920100|1502|GA|Marion|Allied Wireless Communications Corporation|5960|5960|12.28|73188.80
T13199970500|1484|GA|Meriwether|Allied Wireless Communications Corporation|5959|5959|9.38|55895.42
T13199970700|1509|GA|Meriwether|Allied Wireless Communications Corporation|5964|5964|73.14|436206.96
T13199970800|1511|GA|Meriwether|Allied Wireless Communications Corporation|5962|5962|8.01|47755.62
T13209950100|1504|GA|Montgomery|Allied Wireless Communications Corporation|5954|5954|10.32|61445.28
T13209950300|1506|GA|Montgomery|Allied Wireless Communications Corporation|5964|5964|4.92|29342.88
T13231010200|1530|GA|Pike|Allied Wireless Communications Corporation|5970|5970|13.35|79699.50
T13239960300|1541|GA|Quitman|Allied Wireless Communications Corporation|5961|5961|12.69|75645.09
T13243790100|1522|GA|Randolph|Allied Wireless Communications Corporation|5960|5960|22.97|136901.20
T13243790200|1543|GA|Randolph|Allied Wireless Communications Corporation|5965|5965|2.09|12466.85
T13251970200|1545|GA|Screven|Georgia RSA 8 Partnership|5968|5968|28.11|167760.48
T13251970400|1548|GA|Screven|Georgia RSA 8 Partnership|5964|5964|16.64|99240.96
T13251970600|1550|GA|Screven|Georgia RSA 8 Partnership|5969|5969|0.71|4237.99
T13253200300|1551|GA|Seminole|Allied Wireless Communications Corporation|5970|5970|1.75|10447.50
T13259950400|1559|GA|Stewart|Allied Wireless Communications Corporation|5951|5951|14.08|83790.08
T13269950300|1575|GA|Taylor|Allied Wireless Communications Corporation|5967|5967|3.62|21600.54
T13273120200|1576|GA|Terrell|Allied Wireless Communications Corporation|5952|5952|2.5|14880.00
T13283960200|1587|GA|Treutlen|Georgia RSA 8 Partnership|5964|5964|0.72|4294.08
T13287970200|1588|GA|Turner|Allied Wireless Communications Corporation|5964|5964|7.11|42404.04
T13287970300|1594|GA|Turner|Allied Wireless Communications Corporation|5961|5961|1.33|7928.13
T13293010300|1612|GA|Upson|Allied Wireless Communications Corporation|5956|5956|10.96|65277.76
T13301970400|1621|GA|Warren|Georgia RSA 8 Partnership|5962|5962|7.27|43343.74
T13301970500|1622|GA|Warren|Georgia RSA 8 Partnership|5960|5960|48.27|287689.20
T13303950100|1623|GA|Washington|Allied Wireless Communications Corporation|5958|5958|52.55|313092.90
T13303950500|1624|GA|Washington|Allied Wireless Communications Corporation|5952|5952|95.65|569308.80
T13303950700|1625|GA|Washington|Allied Wireless Communications Corporation|5952|5952|8.48|50472.96
T13305970400|1552|GA|Wayne|Allied Wireless Communications Corporation|5953|5953|0.35|2083.55
T13305970600|1553|GA|Wayne|Allied Wireless Communications Corporation|1900|1900|27.3|51870.00
T13315960200|1637|GA|Wilcox|Allied Wireless Communications Corporation|5957|5957|5.5|32763.50
T13315960300|1641|GA|Wilcox|Allied Wireless Communications Corporation|5965|5965|1.3|7754.50
T13319960200|1646|GA|Wilkinson|Allied Wireless Communications Corporation|3493|3493|25.48|89001.64
T13319960300|1647|GA|Wilkinson|Allied Wireless Communications Corporation|5967|5967|6.52|38904.84
T13319960400|1648|GA|Wilkinson|Allied Wireless Communications Corporation|5963|5963|17.36|103517.68
T16003950100|1694|ID|Adams|Allied Wireless Communications Corporation|14915|14915|155.85|2324502.75
T16003950200|1695|ID|Adams|Allied Wireless Communications Corporation|10904|10904|818.62|8926232.48
T16049940000-2445|13974|ID|Idaho|Allied Wireless Communications Corporation|19957|19957|265.42|5296986.94
T16049960200|1738|ID|Idaho|Allied Wireless Communications Corporation|9913|9913|874.37|8667629.81
T16049960300|1739|ID|Idaho|Allied Wireless Communications Corporation|10914|10914|289.25|3156874.50
T16059970200|1762|ID|Lemhi|Allied Wireless Communications Corporation|19198|19198|106.88|2051882.24
T16085970300|1608|ID|Valley|Allied Wireless Communications Corporation|12952|12952|186.56|2416325.12
T17013951300|1747|IL|Calhoun|USCOC of Central Illinois LLC|20378|20378|27.29|556115.62
T17061973800|1808|IL|Greene|USCOC of Central Illinois LLC|19434|19434|50.26|976752.84
T17083010402|1830|IL|Jersey|USCOC of Central Illinois LLC|21912|21912|59.79|1310118.48
T17149952800|1858|IL|Pike|USCOC of Central Illinois LLC|6528|6528|113.17|738773.76
T19117950100|2025|IA|Lucas|United States Cellular Corporation|31619|31619|51.82|1638496.58
T21025920600|2188|KY|Breathitt|East Kentucky Network LLC|3600|3600|50.1|180360.00
T21025920700|2189|KY|Breathitt|East Kentucky Network LLC|2540|2540|106.81|271297.40
T21071920400|2239|KY|Floyd|East Kentucky Network LLC|9820|9820|27.31|268184.20
T21071920700|2242|KY|Floyd|East Kentucky Network LLC|7800|7800|38.14|297492.00
T21071920900|2244|KY|Floyd|East Kentucky Network LLC|27000|27000|8.28|223560.00
T21091960100|2275|KY|Hancock|Powertel/Memphis Inc.|17013|17013|59.92|1019418.96
T21095970100|2280|KY|Harlan|East Kentucky Network LLC|2700|2700|41.98|113346.00
T21095971000|2289|KY|Harlan|East Kentucky Network LLC|2880|2880|80.13|230774.40
T21095971300|2290|KY|Harlan|East Kentucky Network LLC|1780|1780|188.1|334818.00
T21109960300|2301|KY|Jackson|East Kentucky Network LLC|1395|1395|258.67|360844.65
T21133950100|2159|KY|Letcher|East Kentucky Network LLC|5000|5000|17.47|87350.00
T21133950200|2165|KY|Letcher|East Kentucky Network LLC|4800|4800|53.42|256416.00
T21153970300|2234|KY|Magoffin|East Kentucky Network LLC|3200|3200|63.58|203456.00
T21153970400|2235|KY|Magoffin|East Kentucky Network LLC|3300|3300|46|151800.00
T21169960100|2325|KY|Metcalfe|Powertel/Memphis Inc.|33689|33689|46.73|1574286.97
T21175950100|2332|KY|Morgan|East Kentucky Network LLC|2430|2430|143.13|347805.90
T21195930100|1296|KY|Pike|East Kentucky Network LLC|5600|5600|47.84|267904.00
T21195930200|1297|KY|Pike|East Kentucky Network LLC|5800|5800|13.2|76560.00
T21195930600|1298|KY|Pike|East Kentucky Network LLC|6400|6400|13.69|87616.00
T21195930700|1299|KY|Pike|East Kentucky Network LLC|6300|6300|43.4|273420.00
T21195931300|1312|KY|Pike|East Kentucky Network LLC|5680|5680|65.61|372664.80
T22043020200|2389|LA|Grant Parish|Central Louisiana Cellular LLC|5498|5498|18.19|100008.62
T22043020401|2390|LA|Grant Parish|Central Louisiana Cellular LLC|9146|9146|16.4|149994.40
T22069000100|2442|LA|Natchitoches Parish|Central Louisiana Cellular LLC|1368|1368|162.21|221903.28
T22069000800|2443|LA|Natchitoches Parish|Central Louisiana Cellular LLC|1878|1878|118.17|221923.26
T22069000900|2444|LA|Natchitoches Parish|Central Louisiana Cellular LLC|1959|1959|212.13|415562.67
T22079010100|2463|LA|Rapides Parish|Central Louisiana Cellular LLC|2000|2000|14.04|28080.00
T22079010600|2464|LA|Rapides Parish|Central Louisiana Cellular LLC|1800|1800|127.38|229284.00
T22079010700|2465|LA|Rapides Parish|Central Louisiana Cellular LLC|2000|2000|13.75|27500.00
T22079013400|2466|LA|Rapides Parish|Central Louisiana Cellular LLC|2000|2000|29.05|58100.00
T22079013500|2467|LA|Rapides Parish|Central Louisiana Cellular LLC|16260|16260|1.23|19999.80
T22079013600|2468|LA|Rapides Parish|Central Louisiana Cellular LLC|2000|2000|37.29|74580.00
T22079013700|2469|LA|Rapides Parish|Central Louisiana Cellular LLC|2200|2200|12.66|27852.00
T22085000100|2472|LA|Sabine Parish|Central Louisiana Cellular LLC|1800|1800|16.48|29664.00
T22085000200|2473|LA|Sabine Parish|Central Louisiana Cellular LLC|1800|1800|60.41|108738.00
T22085000400|2449|LA|Sabine Parish|Central Louisiana Cellular LLC|1800|1800|47.67|85806.00
T22085000600|2450|LA|Sabine Parish|Central Louisiana Cellular LLC|1800|1800|100.52|180936.00
T22085000700|2451|LA|Sabine Parish|Central Louisiana Cellular LLC|1394|1394|138.91|193640.54
T22115950100|2488|LA|Vernon Parish|Central Louisiana Cellular LLC|1800|1800|199.66|359388.00
T22115950200|2489|LA|Vernon Parish|Central Louisiana Cellular LLC|1800|1800|78.87|141966.00
T22115950300|2490|LA|Vernon Parish|Central Louisiana Cellular LLC|700|700|337.62|236334.00
T22115950701|2491|LA|Vernon Parish|Central Louisiana Cellular LLC|1800|1800|93.8|168840.00
T22115950800|2492|LA|Vernon Parish|Central Louisiana Cellular LLC|923|923|288.46|266248.58
T22115950900|2493|LA|Vernon Parish|Central Louisiana Cellular LLC|3356|3356|2.98|10000.88
T23029955300|2571|ME|Washington|United States Cellular Corporation|27872|27872|18.89|526502.08
T23029955700|2577|ME|Washington|United States Cellular Corporation|41523|41523|2.35|97579.05
T23029955800|2578|ME|Washington|United States Cellular Corporation|10000|10000|79.53|795300.00
T28007060100|25|MS|Attala|Powertel/Memphis Inc.|8082|8082|155.54|1257074.28
T28159950500|2964|MS|Winston|Powertel/Memphis Inc.|5815|5815|98.39|572137.85
T30019020300|3225|MT|Daniels|Sagebrush Cellular Inc.|1874|1874|148.34|277989.16
T30019020300-1250|14019|MT|Daniels|Sagebrush Cellular Inc.|2000|2000|4.44|8880.00
T30085080100|3272|MT|Roosevelt|Sagebrush Cellular Inc.|890|890|14.61|13002.90
T30085080100-4345|14023|MT|Roosevelt|Sagebrush Cellular Inc.|2000|2000|0.48|960.00
T30085940001-1250|14024|MT|Roosevelt|Sagebrush Cellular Inc.|552|552|23.55|12999.60
T30085940002-1250|14025|MT|Roosevelt|Sagebrush Cellular Inc.|691|691|18.81|12997.71
T30091090200|3277|MT|Sheridan|Sagebrush Cellular Inc.|6878|6878|114.35|786499.30
T30091090400|3278|MT|Sheridan|Sagebrush Cellular Inc.|4876|4876|54.65|266473.40
T30091090400-1250|92|MT|Sheridan|Sagebrush Cellular Inc.|2000|2000|6.93|13860.00
T30091090400-4345|13865|MT|Sheridan|Sagebrush Cellular Inc.|2000|2000|0.69|1380.00
T30105940600|3288|MT|Valley|Sagebrush Cellular Inc.|6499|6499|22.53|146422.47
T30105940600-1250|14036|MT|Valley|Sagebrush Cellular Inc.|6499|6499|95.96|623644.04
T31005958300|3316|NE|Arthur|NE Colorado Cellular Inc.|567|567|368.75|209081.25
T31009972400|3318|NE|Blaine|NE Colorado Cellular Inc.|1398|1398|129.21|180635.58
T31013951100|3319|NE|Box Butte|NE Colorado Cellular Inc.|1068|1068|112.92|120598.56
T31015975800|3320|NE|Boyd|NE Colorado Cellular Inc.|1745|1745|75.21|131241.45
T31017975000|3321|NE|Brown|NE Colorado Cellular Inc.|1398|1398|176.25|246397.50
T31029961900|3328|NE|Chase|NE Colorado Cellular Inc.|2695|2695|74.91|201882.45
T31031955800|3329|NE|Cherry|NE Colorado Cellular Inc.|567|567|24.35|13806.45
T31031955900|3330|NE|Cherry|NE Colorado Cellular Inc.|567|567|1071.49|607534.83
T31041971700|3333|NE|Custer|NE Colorado Cellular Inc.|2695|2695|45.96|123862.20
T31041971800|3334|NE|Custer|NE Colorado Cellular Inc.|2695|2695|125.44|338060.80
T31041972000|3335|NE|Custer|NE Colorado Cellular Inc.|2695|2695|26.08|70285.60
T31045950600|3337|NE|Dawes|NE Colorado Cellular Inc.|1068|1068|350.32|374141.76
T31045950700|3338|NE|Dawes|NE Colorado Cellular Inc.|1068|1068|5.07|5414.76
T31057962300|3352|NE|Dundy|NE Colorado Cellular Inc.|2695|2695|147.11|396461.45
T31063961100|3358|NE|Frontier|NE Colorado Cellular Inc.|2695|2695|31.79|85674.05
T31065963900|3359|NE|Furnas|Pinpoint Wireless Inc.|4401|4401|61.39|270177.39
T31069952100|3360|NE|Garden|NE Colorado Cellular Inc.|567|567|471.35|267255.45
T31071973200|3361|NE|Garfield|NE Colorado Cellular Inc.|1398|1398|22.51|31468.98
T31075956300|3362|NE|Grant|NE Colorado Cellular Inc.|567|567|728.07|412815.69
T31085961500|3354|NE|Hayes|NE Colorado Cellular Inc.|2695|2695|161.19|434407.05
T31089974000|3369|NE|Holt|NE Colorado Cellular Inc.|1745|1745|125.02|218159.90
T31089974100|3370|NE|Holt|NE Colorado Cellular Inc.|1745|1745|33.76|58911.20
T31091956700|3371|NE|Hooker|NE Colorado Cellular Inc.|567|567|116.51|66061.17
T31103975400|3377|NE|Keya Paha|NE Colorado Cellular Inc.|1398|1398|500.12|699167.76
T31107976200|3379|NE|Knox|NE Colorado Cellular Inc.|1745|1745|64.2|112029.00
T31107976400-3565|13868|NE|Knox|NE Colorado Cellular Inc.|1745|1745|11.35|19805.75
T31111959700|3380|NE|Lincoln|NE Colorado Cellular Inc.|2695|2695|65.6|176792.00
T31111959800|3386|NE|Lincoln|NE Colorado Cellular Inc.|2695|2695|3.2|8624.00
T31115972800|3388|NE|Loup|NE Colorado Cellular Inc.|1398|1398|158.8|222002.40
T31117957900|3389|NE|McPherson|NE Colorado Cellular Inc.|567|567|390.44|221379.48
T31145963100|3394|NE|Red Willow|Pinpoint Wireless Inc.|4401|4401|71.52|314759.52
T31149974600|3396|NE|Rock|NE Colorado Cellular Inc.|1398|1398|249.18|348353.64
T31161951600|3401|NE|Sheridan|NE Colorado Cellular Inc.|567|567|2.01|1139.67
T31161951700|3402|NE|Sheridan|NE Colorado Cellular Inc.|567|567|1204.81|683127.27
T31165950100|3404|NE|Sioux|NE Colorado Cellular Inc.|1068|1068|1049.14|1120481.52
T32001950100|3419|NV|Churchill|Commnet of Nevada LLC|15425|15425|162.07|2499929.75
T32009950100|3409|NV|Esmeralda|Commnet of Nevada LLC|7210|7210|674.58|4863721.80
T32011000100|3410|NV|Eureka|Commnet of Nevada LLC|6700|6700|728.91|4883697.00
T32013010600|3412|NV|Humboldt|Commnet of Nevada LLC|9793|9793|163.38|1599980.34
T32015000300|3432|NV|Lander|Commnet of Nevada LLC|6300|6300|994.15|6263145.00
T32023960300|3448|NV|Nye|Commnet of Nevada LLC|17797|17797|53.38|950003.86
T35005001102|2987|NM|Chaves|Leaco Rural Telephone Cooperative Inc.|597|597|520.96|311013.12
T35005001200|2988|NM|Chaves|Leaco Rural Telephone Cooperative Inc.|597|597|1816.54|1084474.38
T35005001300|2989|NM|Chaves|Leaco Rural Telephone Cooperative Inc.|597|597|198.22|118337.34
T35005001400|2990|NM|Chaves|Leaco Rural Telephone Cooperative Inc.|597|597|578.97|345645.09
T35009000601|2997|NM|Curry|Plateau Telecommunications Incorporated|546|546|238.21|130062.66
T35009000602|2998|NM|Curry|Plateau Telecommunications Incorporated|811|811|481.91|390829.01
T35011960100|3001|NM|DeBaca|Plateau Telecommunications Incorporated|915|915|907.09|829987.35
T35015000401|3038|NM|Eddy|Leaco Rural Telephone Cooperative Inc.|597|597|2.87|1713.39
T35015000700|3039|NM|Eddy|Leaco Rural Telephone Cooperative Inc.|597|597|2612.88|1559889.36
T35015000800|3040|NM|Eddy|Leaco Rural Telephone Cooperative Inc.|597|597|980.29|585233.13
T35015000900|3049|NM|Eddy|Leaco Rural Telephone Cooperative Inc.|597|597|2801.47|1672477.59
T35019961600|3054|NM|Guadalupe|Plateau Telecommunications Incorporated|5736|5736|455.61|2613378.96
T35025000701|3068|NM|Lea|Leaco Rural Telephone Cooperative Inc.|597|597|3.13|1868.61
T35025000702|3528|NM|Lea|Leaco Rural Telephone Cooperative Inc.|597|597|51.03|30464.91
T35025000900|3529|NM|Lea|Leaco Rural Telephone Cooperative Inc.|597|597|616.32|367943.04
T35025001100|3530|NM|Lea|Leaco Rural Telephone Cooperative Inc.|597|597|1098.98|656091.06
T35037958900|3084|NM|Quay|Plateau Telecommunications Incorporated|1506|1506|1036.86|1561511.16
T35041000401|3545|NM|Roosevelt|Plateau Telecommunications Incorporated|2470|2470|247.66|611720.20
T35041000402|3546|NM|Roosevelt|Plateau Telecommunications Incorporated|716|716|726.98|520517.68
T35047957700|3556|NM|San Miguel|Plateau Telecommunications Incorporated|2039|2039|515.84|1051797.76
T35057963600|3570|NM|Torrance|Plateau Telecommunications Incorporated|4985|4985|323.01|1610204.85
T35057963700|3571|NM|Torrance|T-Mobile West LLC|1079|1079|1705.38|1840105.02
T37003040100|2961|NC|Alexander|Carolina West Wireless Inc.|35000|35000|35.16|1230600.00
T37003040200|3848|NC|Alexander|Allied Wireless Communications Corporation|5960|5960|1.61|9595.60
T37005950100|3850|NC|Alleghany|Carolina West Wireless Inc.|35000|35000|5.18|181300.00
T37005950300|3852|NC|Alleghany|Carolina West Wireless Inc.|35000|35000|15.17|530950.00
T37007920200|3859|NC|Anson|Allied Wireless Communications Corporation|5966|5966|4.18|24937.88
T37007920300|3860|NC|Anson|Allied Wireless Communications Corporation|5961|5961|5.51|32845.11
T37007920600|3861|NC|Anson|Allied Wireless Communications Corporation|5950|5950|25.17|149761.50
T37009970200|3862|NC|Ashe|Carolina West Wireless Inc.|35000|35000|15.83|554050.00
T37009970300|3863|NC|Ashe|Carolina West Wireless Inc.|35000|35000|51.8|1813000.00
T37009970500|3865|NC|Ashe|Carolina West Wireless Inc.|35000|35000|2.34|81900.00
T37009970800|3867|NC|Ashe|Carolina West Wireless Inc.|35000|35000|3.95|138250.00
T37011930100|3868|NC|Avery|Carolina West Wireless Inc.|35000|35000|26.62|931700.00
T37011930200|3869|NC|Avery|Carolina West Wireless Inc.|35000|35000|9.84|344400.00
T37011930301|3870|NC|Avery|Carolina West Wireless Inc.|35000|35000|14.74|515900.00
T37011930400|3872|NC|Avery|Carolina West Wireless Inc.|35000|35000|18.1|633500.00
T37021002900|3886|NC|Buncombe|United States Cellular Corporation|24538|24538|73.75|1809677.50
T37023020100|3894|NC|Burke|Allied Wireless Communications Corporation|5957|5957|2.19|13045.83
T37023020201|3895|NC|Burke|Carolina West Wireless Inc.|35000|35000|18|630000.00
T37023021201|3900|NC|Burke|Allied Wireless Communications Corporation|1959|1959|0.45|881.55
T37023021301|3901|NC|Burke|Allied Wireless Communications Corporation|5952|5952|0.25|1488.00
T37023021302|3902|NC|Burke|Allied Wireless Communications Corporation|5952|5952|6.87|40890.24
T37027030900|3904|NC|Caldwell|Carolina West Wireless Inc.|35000|35000|51.83|1814050.00
T37027031100|3906|NC|Caldwell|Carolina West Wireless Inc.|35000|35000|13.3|465500.00
T37027031201|3911|NC|Caldwell|Carolina West Wireless Inc.|35000|35000|0.58|20300.00
T37077970102|3663|NC|Granville|United States Cellular Corporation|10000|10000|51.77|517700.00
T37123960200|4016|NC|Montgomery|Allied Wireless Communications Corporation|5952|5952|6.59|39223.68
T37123960300|4017|NC|Montgomery|Allied Wireless Communications Corporation|13464|13464|79.73|1073484.72
T37123960500|4018|NC|Montgomery|Allied Wireless Communications Corporation|5960|5960|0.2|1192.00
T37153970200|3961|NC|Richmond|Allied Wireless Communications Corporation|5954|5954|0.65|3870.10
T37153970800|3976|NC|Richmond|Allied Wireless Communications Corporation|5969|5969|0.49|2924.81
T37161960100|3889|NC|Rutherford|Carolina West Wireless Inc.|35000|35000|116.99|4094650.00
T37161960200|3890|NC|Rutherford|Carolina West Wireless Inc.|35000|35000|29.16|1020600.00
T37161960300|3896|NC|Rutherford|Carolina West Wireless Inc.|35000|35000|44.29|1550150.00
T37161960400|4045|NC|Rutherford|Carolina West Wireless Inc.|35000|35000|0.69|24150.00
T37171930101|2013|NC|Surry|Carolina West Wireless Inc.|35000|35000|0.34|11900.00
T37171930102|2018|NC|Surry|Carolina West Wireless Inc.|35000|35000|0.02|700.00
T37171930801|4055|NC|Surry|Carolina West Wireless Inc.|35000|35000|0.64|22400.00
T37185950400|2977|NC|Warren|United States Cellular Corporation|21275|21275|22.73|483580.75
T37189920100|3015|NC|Watauga|Carolina West Wireless Inc.|35000|35000|18.86|660100.00
T37189920200|3022|NC|Watauga|Carolina West Wireless Inc.|35000|35000|18.54|648900.00
T37189920300|4061|NC|Watauga|Carolina West Wireless Inc.|35000|35000|2.55|89250.00
T37189920701|4063|NC|Watauga|Carolina West Wireless Inc.|35000|35000|0.21|7350.00
T37189920900|4065|NC|Watauga|Carolina West Wireless Inc.|35000|35000|12.41|434350.00
T37189921000|4066|NC|Watauga|Carolina West Wireless Inc.|35000|35000|13.54|473900.00
T37193960200|4067|NC|Wilkes|Carolina West Wireless Inc.|35000|35000|0.33|11550.00
T37193960400|4068|NC|Wilkes|Carolina West Wireless Inc.|35000|35000|5.95|208250.00
T37193960900|4069|NC|Wilkes|Carolina West Wireless Inc.|35000|35000|39.63|1387050.00
T37193961001|4070|NC|Wilkes|Carolina West Wireless Inc.|35000|35000|7.63|267050.00
T37193961002|4071|NC|Wilkes|Carolina West Wireless Inc.|35000|35000|0.04|1400.00
T37199960101|4074|NC|Yancey|United States Cellular Corporation|11521|11521|95.86|1104403.06
T38023954500|4090|ND|Divide|Sagebrush Cellular Inc.|2000|2000|391.19|782380.00
T38023954500-4345|14066|ND|Divide|Sagebrush Cellular Inc.|2000|2000|0.22|440.00
T38085940800-3970|14094|ND|Sioux|Standing Rock Telecommunications Inc.|1441|1081|403.12|580895.92
